X,Y,objectid,globalid,business_name,address_help_your_customer_find,phone_number_to_place_an_order,business_website,are_you_open_for,provide_details_for_you_busines,CreationDate,EditDate
-122.328543,47.59865416,257,ddc24a77-cee3-4be5-914f-461ccc757cc0,Specialty's Café & Bakery -  ID,"505 5th Ave S Seattle, WA, 98104",,https://www.specialtys.com/Location.aspx?Store=SE01,"takeout,delivery",Order from website.,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.3358196,47.61554725,258,f28071bb-98cb-4d63-a842-3da8656c74d6,Specialty's Café & Bakery -  Virginia St,"1918 8th Ave Seattle, WA, 98101",,https://www.specialtys.com/Location.aspx?Store=SE08,"takeout,delivery",Order from website.,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.33682,47.612772,261,8b50b4a6-32a8-4052-9855-6b2152296f6d,Cherry Street Coffee - 5th & Olive,"509 Olive Way, Seattle, WA 98101", (206) 623-3005,https://www.cherryst.com,takeout,Most of our 10 Seattle locations remain open for take out orders.  We encourage you to download our mobile ordering app.,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.31584,47.6080125,262,2259b66d-945f-4712-bd06-addd69adef2e,Cherry Street Coffee - 12th & James,"1223 E Cherry St, Seattle, WA 98122",(206) 454-3592,https://www.cherryst.com,takeout,Most of our 10 Seattle locations remain open for take out orders.  We encourage you to download our mobile ordering app.,2020/03/27 01:38:15.543+00,2020/06/04 14:35:34.769+00
-122.344874,47.61225284,263,d19ad37b-cbc4-49f6-adc2-435461460156,Cherry Street Coffee - First & Lenora,"2121 1st Ave, Seattle, WA 98121",(206) 441-7176,https://www.cherryst.com,takeout,Most of our 10 Seattle locations remain open for take out orders.  We encourage you to download our mobile ordering app.,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.327109,47.615418,265,e4ed4920-adea-46e5-bb6d-f76e6016f7df,Cherry Street Coffee - Pine & Melrose,"320 E Pine St, Seattle, WA 98122",(206) 859-2777,https://www.cherryst.com,takeout,Most of our 10 Seattle locations remain open for take out orders.  We encourage you to download our mobile ordering app.,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.3190315,47.551203,266,1600502a-e8be-421b-b2bf-f6487b8ca0bd,Flying Squirrel Pizza - Georgetown,"5701 Airport Way S Seattle, WA 98108",206.397.3540,http://www.flyingsquirrelpizza.com/about.php,takeout,,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.3229405,47.6892611,267,120945d7-46dc-4e08-aac5-679f4500c0be,Flying Squirrel Pizza - Maple Leaf,"8310 5th Ave NE Seattle, WA 98115",206.524.6345,http://www.flyingsquirrelpizza.com,"takeout,third_party_delivery_service",Open for takeout!,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.3870556,47.56139122,268,739420a6-e2d2-47c9-9ada-fa82f4897e47,Easy Street Records/Cafe,"4559 California Ave SW, Seattle, WA",(206) 938-EASY,https://easystreetonline.com/Cafe,"takeout,curbside,delivery",Call (206) 938-EASY Open 7am-1pm Weekends extended hours. Delivery: West Seattle only,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.3865821,47.56338568,269,5b414033-5b47-489f-a9f1-dadaed9af9c7,Coastline Burgers,"4444 California Ave SW Seattle, WA",(206) 946-6827,https://coastlineburgers.com/,takeout,"Coastline Burgers is OPEN for your pickup orders!
Order Online: https://coastlineburgers.com/
Call For Pickup: 206-946-6827",2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.3869896,47.56384155,271,ab5a1143-369e-4445-9b81-e883a449c46c,Seattle Fish Company,"4435 California Ave SW Seattle, WA 98116",1-866-938-7576,https://www.seattlefishcompany.com,"takeout,curbside,third_party_delivery_service",Fish Market is Open! The Grill is open for Takeout and Delivery!,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.3222895,47.613942,272,4a0a9929-c5da-4b61-a9c3-d4660cbaad11,Ayutthaya Thai Restaurant,"727 East Pike Street, Seattle, WA 98122",206.324.8833,https://www.ayutthayathai.com/,"takeout,third_party_delivery_service",We are open for ToGo food!,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.3570905,47.63536519,273,7152d48d-f696-4a2a-80d0-1626f9ddfcec,Sushi Samarai,"1817 Queen Anne Ave N, SEATTLE, WA 98109  ",206 766-0298,http://www.thesushisamurai.com,"takeout,curbside","Curbside Pickup, Regular Pickup
Open hours:
Monday-Friday 2pm-9pm
Saturday-Sunday 4pm-9pm
",2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.3024325,47.67588047,274,26542a5d-0561-4260-a71e-374821a41671,Ravenna Varsity Restaurant,"2300 NE 65th Street Seattle, WA 98115",(206) 525-2701,https://www.ravennavarsity.com/,"takeout,curbside",Ravenna Varsity is open and offering curbside pick-up on orders to go!!,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.3165407,47.61491833,275,e8e287fe-fb06-44e1-afd0-d9300fc93b57,Eltana - Capitol Hill,"1538 12th Ave  Seattle, WA 98122",206-724-0660,https://www.eltana.com/order,"takeout,delivery,third_party_delivery_service","Modified Hours of Operation:
Store Hours - 8 am to 3 pm",2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.3420441,47.65462565,276,2216b188-72bf-490c-b05d-74e2889b9b25,Eltana - Wallingford,"3920 Stone Way North  Seattle, WA 98103",206-420-1293,https://www.eltana.com/order,"takeout,delivery,third_party_delivery_service","Modified Hours of Operation:
Store Hours - 8 am to 3 pm",2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.3786418,47.6684662,277,19d7d266-0567-44dd-aab7-c88df15362ca,Mighty-O Donuts - Ballard,"1555 NW Market St Seattle, WA 98107",(206) 547-0335,https://www.mightyo.com/ways-to-order/,"takeout,third_party_delivery_service",Our hours are changing daily. Greenlake 6am-4pm Daily | Ballard 7am-2:30pm Daily | Capitol Hill 7am-2:30pm Daily.,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.3164107,47.61323362,278,3330c23a-b393-41c2-84a1-dfdec40033a9,Mighty-O Donuts - Capitol Hill,"1400 12th Ave Seattle, WA 98122",(206) 420-4587,https://www.mightyo.com/ways-to-order/,"takeout,third_party_delivery_service",Our hours are changing daily. Greenlake 6am-4pm Daily | Ballard 7am-2:30pm Daily | Capitol Hill 7am-2:30pm Daily.,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.3334029,47.66895287,279,001818fe-d96e-42e7-8070-38583289ac4a,Mighty-O Donuts - Greenlake,"2110 N 55th St Seattle, WA 98103",(206) 547-5431,https://www.mightyo.com/ways-to-order/,"takeout,third_party_delivery_service",Our hours are changing daily. Greenlake 6am-4pm Daily | Ballard 7am-2:30pm Daily | Capitol Hill 7am-2:30pm Daily.,2020/03/27 01:38:15.543+00,2020/04/17 20:53:08.311+00
-122.3231336,47.59656195,280,aae226dd-ab02-4b14-befb-d8bfab333301,Crawfish King,"725 S Lane St, Seattle, WA 98104",206-623-3622,http://crawfishkingwa.com/#/,"takeout,third_party_delivery_service",,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.2847049,47.55751686,281,39a29472-9012-4247-b665-fdd8721d4a57,Taproot Cafe and Bar,"4908 A Rainer Ave S, Seattle, Wa 98118, USA",(206)420-2535,https://www.taprootseattle.com/,"takeout,delivery,third_party_delivery_service",,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.2775911,47.55179521,282,2c8763c4-6fff-45e1-b4db-da1277ae701b,Onda Origins Cafe & Roastery,"5600 Rainier Ave S, Seattle, WA 98118",678-910-5880,https://ondaorigins.com/,"takeout,delivery",Delivery is for coffee only.,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.338974,47.60403114,283,90f760c4-e545-4674-b676-5c1541c1392f,Ivar's Fish Bar - Seattle WaterFront,"1001 Alaskan Way Seattle, WA 98104",(206) 467-8063,https://www.ivars.com/,"takeout,curbside,third_party_delivery_service","HOURS
Daily
10am - 9pm

Food Priority Pick-up Zone: Yes",2020/03/27 01:38:15.543+00,2020/06/01 14:41:07.310+00
-122.344272,47.72645534,284,1d8ead21-865d-4e7d-929b-85be0e9479dc,Ivar's Fish Bar - Aurora,"13448 Aurora Avenue N Seattle, WA 98133",(206) 365-2131,https://www.ivars.com/all-locations,"takeout,curbside,delivery,third_party_delivery_service","HOURS
Sun - Thurs
11am - 9pm

Fri & Sat
11am - 10pm",2020/03/27 01:38:15.543+00,2020/06/15 20:27:09.810+00
-122.3002886,47.66880044,285,87e1ce1f-5dc2-42a0-a1e4-a9c0c9f2a027,Kidd Valley - University,"5502 25th Ave. NE Seattle, 98105",(206) 522-0890,https://www.kiddvalley.com/,"takeout,third_party_delivery_service","Daily
11am-8pm",2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.3409168,47.66448011,286,5e9db331-6089-41e0-9cdd-3a82f6992567,Kidd Valley - Greenlake,"4910 Green Lake Way N Seattle, 98103",(206) 547-0121,https://www.kiddvalley.com/,"takeout,third_party_delivery_service","Daily
11am-8pm",2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.3549022,47.51621065,287,9c127604-175c-44bd-a53e-d6e9ab64dec2,buho,"9640 A 16th ave SW, seattle, 98106",206-226-9964,https://www.buhowhitecenter.com/,"takeout,curbside,third_party_delivery_service","4pm-10pm, 7 days",2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.334525,47.601027,288,062049e2-0d08-471c-abdc-bc0d14adda43,Underbelly,"119 1st Ave. South Seattle, Wa. 98104",,https://www.underbellyofseattle.com/,"takeout,curbside","We sell Natural Wine, canned & bottled beer & natural ciders to-go.",2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.3132466,47.66673116,291,ef831268-7e1e-4dac-b11c-053b5f964ef5,Bok a Bok - U District,"5201 University Way NE, D, Seattle",206-669-5976,http://www.bokabokchicken.com/,"takeout,third_party_delivery_service",Open for takeout and delivery,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.3197792,47.61384752,292,fd3e5252-9b87-404f-bf2c-24dabd48ca37,Bok a Bok - Capitol Hill,"1427 10th Ave Seattle, WA 98122",206-669-5976,http://www.bokabokchicken.com/,"curbside,third_party_delivery_service",Open for takeout and delivery,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.3374622,47.62180748,293,459ab581-6faa-4ba2-8536-d70719927fcc,Portage Bay Cafe - SLU,"391 Terry Ave N, Seattle, WA 98109",(206) 462-6400,https://www.portagebaycafe.com/,"takeout,third_party_delivery_service","8am - 1pm, daily
Delivery and pick up available by calling the cafe at (206) 462-6400
or through Caviar, Postmates, and Grubhub",2020/03/27 01:38:15.543+00,2020/04/22 15:58:35.594+00
-122.3763789,47.53155873,294,409188d7-2fb3-4851-92af-9ceeac41002b,The Westy - West Seattle,"7908 35th Ave SW, Seattle, WA 98126",206-937-8977,https://www.thewestyseattle.com/,"takeout,third_party_delivery_service",WE ARE BACK OFFERING CARRY-OUT OR DELIVERY THROUGH UBER-EATS FROM 4PM - 9PM,2020/03/27 01:38:15.543+00,2020/04/30 15:13:23.311+00
-122.3870707,47.56197644,295,90e8c04f-2d34-4cc9-a0d1-0988891a4bfa,West 5,"4539 California Ave SW, Seattle, WA 98116",(206) 935-1966,https://westfive.com/,"takeout,third_party_delivery_service","Sat: 9AM–12AM
Sun: 9AM–12AM
Mon: 11AM–12AM
Tue: 11AM–12AM
Wed: 11AM–12AM
Thu: 11AM–12AM
Fri: 11AM–12AM",2020/03/27 01:38:15.543+00,2020/04/30 15:07:33.518+00
-122.3710239,47.57075481,297,cc6b265d-758e-434c-b3b1-00012abaa091,Luna Park Cafe,"2918 SW Avalon Way, Seattle, WA 98126",206-935-7250,https://lunaparkcafe.com/,"takeout,third_party_delivery_service","OPEN 8am-8pm
FOR TOGO PICK UPS!
DoorDash Available too!

Luna's Famous Breakfast served all day!",2020/03/27 01:38:15.543+00,2020/05/11 16:58:41.563+00
-122.3864022,47.56128973,298,7cd1dab7-84e2-41bd-bca2-f6afce6e1b67,Jaks Grill - West Seattle,Jaks Grill - West Seattle,(206) 937-7809,http://jaksgrill.com/,"takeout,delivery",To-go/delivery menu will be available 11-2pm and 4-8pm Monday through Sunday.,2020/03/27 01:38:15.543+00,2020/05/11 16:58:24.255+00
-122.3844414,47.58100422,299,501f3ff4-6df1-4332-beed-d6a941a28a23,GYRO HEROES,"4111 SW Admiral Way, Seattle, WA 98116",206-457-4140,,"takeout,third_party_delivery_service","Open every day to take away or delivery orders every day from 10 am – 9 pm. You can find us for delivery on Postmates, Grabhub, and Doordash. ",2020/03/27 01:38:15.543+00,2020/05/11 16:58:07.542+00
-122.4054824,47.58090287,300,8bc1d21c-51bc-43ff-b511-0f5f15a08e7c,Blue Moon Burgers,"2504 Alki Ave SW, Seattle, WA 98116",,http://bluemoonburgers.com/,"takeout,delivery",,2020/03/27 01:38:15.543+00,2020/05/11 16:57:50.941+00
-122.4057872,47.58079178,301,f5fb426d-c407-4b02-9dff-8ee255a11ff7,Christo’s on Alki,"2508 Alki Ave SW Seattle, WA 98116",206-923-2200,https://christosonalki.com/,"takeout,third_party_delivery_service","Our modified hours will be: Monday-Friday: 3pm-9pm, Saturday & Sunday: 9am to 9pm",2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.386814,47.58089713,302,aac80e67-b1b3-427f-ab5f-21739a4189b7,Circa,"2605 California Ave SW, Seattle, WA 98116",206-923-1102,https://www.circalove.com/,takeout,,2020/03/27 01:38:15.543+00,2020/05/11 16:57:30.804+00
-122.387169,47.57536195,303,23c15517-c4ee-483f-8d0f-6f4478606296,The Swinery,"3207 California Ave SW, Seattle, WA 98116",(206) 932-4211,https://www.westseattleswinery.com/,"takeout,third_party_delivery_service",Please call ahead to place your order for pick up at 206 932-4211.,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.3865343,47.56485539,304,6115a960-ee69-4911-9f37-34b1050a7945,Itto's Tapas,"4160 California Ave SW, Seattle, WA 98116",206-504 9410,https://www.ittostapas.com/,"takeout,curbside,delivery",Open 5PM to 9PM ,2020/03/27 01:38:15.543+00,2020/04/30 19:30:38.969+00
-122.3626971,47.55161361,306,0e1972f6-8a86-453d-b79a-9ff0c0096c5d,West of Chicago Pizza Company,5604 Delridge Way SW,206-339-DEEP,https://westofchicagopizzacompany.com/,takeout,Preorders through our website only,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.3559978,47.51880781,307,1d62e9ad-ba64-4785-8366-b36199b39b38,Fresh Flours - West Seattle,9410 Delridge Way SW,253-470-6753,http://www.freshfloursseattle.com/,takeout,,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.3112505,47.57864153,308,328bab0f-b366-4ca9-a9be-136e4c40d6cf,Fresh Flours - Beacon Hill,"1624 S. McClellan Street, Seattle, WA",206-258-3121,http://www.freshfloursseattle.com/,takeout,,2020/03/27 01:38:15.543+00,2020/04/15 20:24:34.817+00
-122.3712195,47.66668389,311,d070abe8-f205-4819-a53e-01c8f4617a00,Stoup Brewing,"1108 NW 52nd St, Seattle, WA 98107",(206)457-5524,http://www.stoupbrewing.com,"takeout,curbside",Open 12-7pm daily for beer-to-go. Order online by 10 am for same day pick up or after 10am for next day at www.stoupbrewing.com/beers-to-go,2020/03/27 01:38:15.543+00,2020/05/12 16:06:27.320+00
-122.3041094,47.67593379,313,0dec0c72-68be-4910-a9ae-73c480434cfd,Junebaby,"2122 NE 65th St Seattle, WA 98115",206.257.4470,https://www.junebabyseattle.com/welcome,takeout,"Takeout hours are Wed-Sun 3pm-7pm, for pick up only.
Online takeout orders or day-of phone orders are accepted until noon on the day of pick up.
",2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.2995207,47.66808049,314,df891b80-17f7-4c0a-8ebd-70a33e60f9db,Ravenna Brewing Co.,5408 26TH AVE NE  SEATTLE WA 98105,,http://www.ravennabrewing.com/,takeout,"Online Ordering Now Available through website! 
1. Click ""shop"", order beer.
2. We'll have it ready within an hour.
3. You pick it up!",2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.3183835,47.675187,315,81ad2dc4-2e2f-42d6-9c1f-f74a316b0f52,Sunlight Cafe,"6404 9TH AVE NE SUITE 100 SEATTLE, WA, 98115",(206) 522-9060,http://sunlightcafevegetarian.com/,takeout,"We would love to take your phone orders!

New hours:
Tues-Fri: 11am - 7pm
Sat&Sun: 9am-7pm
Closed Mondays",2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.3206731,47.62160171,316,6cd5f35d-9024-419e-bdb3-44340236e9fa,Olmstead,"314 Broadway E, Seattle, WA 98102",206-557- 4201,https://www.olmsteadseattle.com/,takeout,"Our to go menu is online, you can order online or call in! 11-8, everyday.",2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.3124489,47.62392544,317,cdea92d0-eb04-467f-bb5a-92bbba58ae05,Harry's Bar and Olympia Pizza III,"516 15th Ave. E Seattle, WA 98112",206-329-4500,https://www.olympiapizza3.com/,takeout,"New hours
Sunday thru Thursday 11am till 9pm
Friday and Saturday 11am till 10pm",2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.3675554,47.6645644,318,cd424bed-d4b5-4470-b85b-4e3955a37e44,Populuxe Brewing,"826 NW 49th St, Seattle, WA 98107",(206)706-3400,http://www.populuxebrewing.com,"takeout,curbside",Beer to go,2020/03/27 01:38:15.543+00,2020/06/04 14:55:54.558+00
-122.2920854,47.6261002,319,d17a9b5d-ccb7-481a-8c33-d2f4ed5350b4,Belle Epicurean - Madison Park,"3109 E Madison St., Seattle, WA 98112",(206) 466-1320,https://belleepicurean.com/,"takeout,delivery",8am - 2pm daily. Delivery is ordered online for catered meals.,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.3329152,47.60586532,320,fd11847a-3b1f-4b1a-b490-da1bdf13625d,Belle Epicurean - Downtown,"925 4th Ave., #450, Seattle, WA 98104",(206) 262-9306,https://belleepicurean.com/,"takeout,delivery",8am - 2pm daily. Delivery is ordered online for catered meals.,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.3274305,47.60824802,321,712be312-b8ef-4d87-8c5e-b57056fd2fe1,Vito's,"927 Ninth Avenue Seattle, WA 98104",206-397-4053,https://www.vitosseattle.com/#overview,"takeout,delivery,third_party_delivery_service",We are now offering delivery (within 5 mile radius of First Hill) Wednesday thru Sunday from 5-9 pm! Please the “Menu” tab of our website.,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.3158905,47.613933,322,4c86b362-d835-4820-a807-888a40729947,Elysian Brewing,"1221 E Pike St. Seattle, WA 98122",206-906-9148,https://www.elysianbrewing.com/herewithyou,"takeout,delivery","Takeout is for food and beer from 12-5pm Thurs-Sun.
Delivery is for beer; see website for more details.",2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.3632525,47.55170249,324,c88a8ef8-51ef-4751-a8cd-62376013d25c,Olympia Pizza & Pasta,"5605 Delridge Way SW, Seattle, WA 98106",(206) 933 - 7550,https://www.olympiapizzapasta.com/,"takeout,delivery","Hours:
Sunday - Thursday : 10:30 AM - 9:45 PM
Friday & Saturday : 10:30 AM - 10:45 PM

$15 delivery minimum.",2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.3830569,47.55991204,325,cf04b8e4-d5a3-4380-b282-9439df941195,Sound & Fog,4735 40th Ave SW,,http://www.soundandfog.com,takeout,"Daily Hours 7am-5pm
Takeout coffee and pastry, whole bean coffee and wine bottle sales. ",2020/03/27 01:38:15.543+00,2020/04/16 15:09:52.411+00
-122.3338971,47.59264438,326,10960bf8-8050-41ac-a444-b3e7f4fc653c,Jimmy's On First,"1046 1st Avenue South, Seattle, WA 98134",(206)204-9700,https://www.jimmysonfirst.com,"takeout,curbside,third_party_delivery_service","Offering dinner selections from 4:00pm to 9:00pm seven days a week.  Burgers, salmon, salads, and even breakfast for dinner.",2020/03/27 01:38:15.543+00,2020/05/11 16:51:09.996+00
-122.3405595,47.60850079,329,6fcd86bb-c716-40ea-b3cd-43d9f21c3d33,Maximilien,81A Pike Street,2066827270,https://www.maximilienrestaurant.com/le-meal-bag/,delivery,"Meal bag, order the night before for delivery to 5 pick up points in Seattle. Online orders only, no phone.
See our website for more details.",2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.3151198,47.5270817,330,0b9f360d-a470-47a1-82de-bdf5d3d4a44c,Muy Macho Taco Truck,"8515 14th Ave S, Seattle, WA 98108",206-335-3953,,"takeout,curbside",,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.3150637,47.52662866,331,eeab1823-bcef-4bd5-a786-c770c5ebabf6,Mi Fondita Del Itsmo,"8525 14th Ave S, Seattle, WA 98108",206-763-2705,,takeout,,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.3150929,47.52621869,333,245430e0-b305-43c3-8914-d06590fa397c,Tasty's Bar & Grill,"8605 14th Ave S, Seattle, WA 98108",206-698-0504,,takeout,,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.3150511,47.52686091,334,8ddf3e27-0b29-4b78-b0c2-20b7b8fed496,Ambakity Cocina Mexicana,"8515 14th Ave S, Seattle, WA 98108",(206) 257-5483,,takeout,,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.3139279,47.59846183,336,c461e6b0-d4d4-48a7-b78f-d78ce2386a8f,Bun & Oc,"1306 S King St, Seattle, WA 98144",(206) 860-1556,,"takeout,third_party_delivery_service",,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.3384081,47.61349944,337,5690de24-5c2a-4888-8da6-05df99019106,Relish Burger Bistro TO-GO,"1900 5th Avenue, Seattle, WA 98101",206-256-7600,http://relishbistroseattle.com,"takeout,curbside","Relish Burger Bistro TO-GO is open daily 7am-9pm offering breakfast, signature burgers, sandwiches, salads.  Beer & Wine TO-GO is also available.",2020/03/27 01:38:15.543+00,2020/03/27 03:44:29.679+00
-122.263524,47.45037734,338,4cc48c31-ac9c-4128-826c-16d26971020f,Arashi Ramen - Tukwila,"17045 Southcenter Pkwy, Tukwila, WA 98188",253-220-8722,https://www.arashiramen.com/,"takeout,third_party_delivery_service","Mon: Closed
Tue: 11:30a –9:30p
Wed: 11:30a –9:30p
Thu: 11:30a –9:30p
Fri: 11:30a –9:30p
Sat: 11:30a –9:30p
Sun: 11:30a –9:30p",2020/03/27 01:38:15.543+00,2020/04/22 03:49:12.584+00
-122.3823177,47.66821404,339,cd5c4617-6dc0-4924-a90e-fc4bd09e938f,Arashi Ramen - Ballard,"5401 20th Ave NW, Seattle, WA 98107",206-492-7933,https://www.arashiramen.com/,"takeout,third_party_delivery_service","Mon: Closed
Tue: 11:30a –9:30p
Wed: 11:30a –9:30p
Thu: 11:30a –9:30p
Fri: 11:30a –9:30p
Sat: 11:30a –9:30p
Sun: 11:30a –9:30p",2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.3490987,47.6496341,340,21f83805-7d26-4ace-aa32-388412e13204,Eve Fremont,"704 N 34th St, Seattle, WA 98103",206-900-7186,https://www.evefremont.com/,takeout,"Wed-Sat 3:30pm - 8pm
Order online through website
Follow our instagram, https://www.instagram.com/evefremont/, for the latest updates.",2020/03/27 01:38:15.543+00,2020/05/11 16:56:22.829+00
-122.3424982,47.64995854,341,c162fbb8-44a1-48c4-ba67-eacf29cf0d5c,Stone Way Cafe,"3510 Stone Way N, Seattle, WA 98103",(206) 420-4435,https://squareup.com/store/stone-way-cafe,"takeout,delivery,third_party_delivery_service",Order online at our website.,2020/03/27 01:38:15.543+00,2020/05/11 16:56:04.125+00
-122.3211257,47.62058216,342,97d320bd-cecf-43c7-afe2-e1f40150dd2d,Taco Chuki's - Capitol Hill,"219 Broadway E Seattle, WA 98102",206-905-8537,https://www.seattlechukis.com/,takeout,"Hours: 11 am-10 pm

Visit our website to place your order online.",2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.3034543,47.6127703,343,cefc0ca2-cd1e-4e5d-9d72-eacbd65837c1,Taco Chuki's - Central District,"2215 E Union St Seattle, WA 98122",206-973-7994,https://www.seattlechukis.com/,takeout,"Hours: 11 am- 9pm

Visit our website to place your order online!",2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.311494,47.579598,344,19c09234-a977-47c7-aaac-6760293fc120,Taco Chuki's - Beacon Hill,"1608 S Roberto Maestas Festival St Seattle, WA 98144",206-971-2440,https://www.seattlechukis.com/,takeout,"Hours: 11 am- 9 pm

Visit our website to place your order online!",2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.3421569,47.62656619,345,829680f0-0e5a-4191-abe7-d045e784cc6e,Taco Chuki's - SLU,"832 Dexter Ave N Seattle, WA 98109",206-518-9025,https://www.seattlechukis.com/,takeout,"Hours: 11 am- 10 pm

Visit our website to place your order online!",2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.339934,47.608434,347,04ec2402-9bc3-4518-ad03-16a2dcd24095,Bottega Italiana,"1425 First Avenue Seattle, WA 98101",(206) 343-0200,http://bottegaitaliana.com/,"takeout,third_party_delivery_service",Call (206) 343-0200 or email bottegagelato@gmail.com to place takeout orders. Pints only. One flavor per pint. Credit Card/debt only.,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.341491,47.609424,348,ab07aabc-3a90-4ee8-a975-d35dbf11168b,Cinnamon Works,"1536 Pike Place Seattle, WA  98101",(206) 583-0085,https://cinnamonworks.com/,"takeout,third_party_delivery_service",​​Call (206) 583-0085 or stop by the store. Open Friday - Monday from 9 a.m. - 4 p.m.,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.3427502,47.60964644,349,f423661e-1874-44a4-986a-3d96b8d02262,Honest Biscuits,"1901 Western Ave Suite E, Seattle, WA 98101",(206)682-7179,https://www.honestbiscuits.com,"takeout,curbside,third_party_delivery_service",​​Call (206) 682-7179 Stop by for Southern food. Closed on Tuesdays. Open 8am to 2pm other days. Order through our app or online for curbside pick up.,2020/03/27 01:38:15.543+00,2020/05/11 16:55:24.794+00
-122.3427502,47.60964645,350,878a28df-6d5e-43b7-b7d2-eb0d90bd1043,Indi Chocolate,1901 Western Ave Suite D Pike Place Market Seattle WA 98101,(425) 243-2089,https://indichocolate.com/,"takeout,third_party_delivery_service",​Call (425) 243-2089 to order ahead. Open daily 8:30 a.m. - 5 p.m.,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.342193,47.609838,351,ee4b2269-da94-466d-a062-ad14ce2af877,Michou Deli," 1904 Pike Place, Seattle, WA 98101",(206) 448-4758,https://michoudeli.com/menu/,"takeout,curbside",​Call (206) 448-4758 or come to the counter. Curbside delivery available. Open daily 10 a.m. - 2 p.m.,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.341221,47.609226,352,e49486a6-626a-4573-929d-aa65ceac06de,Mr. D's Greek Delicacies,"Pike Place Market  1518 Pike Place  Seattle, WA 98101",(206) 622-4881,https://www.mrdsgreekdelicacies.com/,"takeout,third_party_delivery_service",​Call (206) 622-4881 or stop by. Open daily 11 a.m. - 3 p.m.,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
